id,name_zh,name_en,source_page,original_image_url,author,license,license_url,public_domain,commercial_use_allowed,attribution_required,modified,local_main_path,local_thumb_path,download_date,notes
P060,袁隆平,Yuan Longping,https://commons.wikimedia.org/wiki/File:Yuan_Longping_at_news_conference_(cropped).png,https://upload.wikimedia.org/wikipedia/commons/7/77/Yuan_Longping_at_news_conference_%28cropped%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,China News Service,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,false,true,true,true,./portraits/P060/main.webp,./portraits/P060/thumb.webp,2026-09-07,"Identity verified through exact zhwiki page and Wikidata Q3141326 P18; source 538x717; crop=(0, 0, 538, 672); face_detected=True; main=31130 bytes; thumb=8748 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P061,苏格拉底,Socrates,https://commons.wikimedia.org/wiki/File:Socrates_Louvre.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Socrates_Louvre.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Copy of Lysippos (?),Public Domain,,true,true,false,true,./portraits/P061/main.webp,./portraits/P061/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q913 P18; source 1944x2592; crop=(0, 0, 1920, 2400); face_detected=True; main=48212 bytes; thumb=8118 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P062,柏拉图,Plato,https://commons.wikimedia.org/wiki/File:Plato_Silanion_Musei_Capitolini_MC1377.jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/Plato_Silanion_Musei_Capitolini_MC1377.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Marie-Lan Nguyen,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,false,true,true,true,./portraits/P062/main.webp,./portraits/P062/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q859 P18; source 2400x3600; crop=(0, 0, 1920, 2400); face_detected=True; main=61678 bytes; thumb=10032 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P063,亚里士多德,Aristotle,https://commons.wikimedia.org/wiki/File:Aristotle_Altemps_Inv8575.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Aristotle_Altemps_Inv8575.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,After Lysippos,Public Domain,,true,true,false,true,./portraits/P063/main.webp,./portraits/P063/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q868 P18; source 1700x2275; crop=(0, 0, 1700, 2125); face_detected=True; main=54048 bytes; thumb=10426 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P064,亚历山大大帝,Alexander the Great,https://commons.wikimedia.org/wiki/File:Alexander_the_Great_mosaic_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Alexander_the_Great_mosaic_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Unknown authorUnknown author,Public Domain,,true,true,false,true,./portraits/P064/main.webp,./portraits/P064/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q8409 P18; source 803x1074; crop=(0, 13, 803, 1017); face_detected=False; main=243870 bytes; thumb=35362 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P065,尤利乌斯·凯撒,Julius Caesar,https://commons.wikimedia.org/wiki/File:Retrato_de_Julio_C%C3%A9sar_(26724093101)_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/6/62/Retrato_de_Julio_C%C3%A9sar_%2826724093101%29_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"Ángel M. Felicísimo from Mérida, España",Public Domain,,true,true,false,true,./portraits/P065/main.webp,./portraits/P065/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q1048 P18; source 1752x2379; crop=(0, 0, 1752, 2190); face_detected=True; main=35738 bytes; thumb=5216 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P066,奥古斯都,Augustus,https://commons.wikimedia.org/wiki/File:Augustus_of_Prima_Porta_(inv._2290).jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Augustus_of_Prima_Porta_%28inv._2290%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Joel Bellviure,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,false,true,true,true,./portraits/P066/main.webp,./portraits/P066/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q1405 P18; source 2813x4500; crop=(0, 671, 1920, 3071); face_detected=True; main=120592 bytes; thumb=13166 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P067,马可·奥勒留,Marcus Aurelius,https://commons.wikimedia.org/wiki/File:Marcus_Aurelius_Louvre_MR561_n02.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1c/Marcus_Aurelius_Louvre_MR561_n02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Marie-Lan Nguyen (2011),CC BY 2.5,https://creativecommons.org/licenses/by/2.5,false,true,true,true,./portraits/P067/main.webp,./portraits/P067/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q1430 P18; source 2773x4160; crop=(0, 0, 1920, 2400); face_detected=True; main=74302 bytes; thumb=12986 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P068,克娄巴特拉七世,Cleopatra,https://commons.wikimedia.org/wiki/File:Kleopatra-VII.-Altes-Museum-Berlin1.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/Kleopatra-VII.-Altes-Museum-Berlin1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Louis le Grand,Public Domain,,true,true,false,true,./portraits/P068/main.webp,./portraits/P068/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q635 P18; source 1149x1523; crop=(0, 87, 1149, 1523); face_detected=True; main=33252 bytes; thumb=5632 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P069,查理曼,Charlemagne,https://commons.wikimedia.org/wiki/File:Charlemagne_denier_Mayence_812_814.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fb/Charlemagne_denier_Mayence_812_814.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Charlemagne. Autorité émettrice de monnaie indéterminé. Atelier monétaire. Émetteur,Public Domain,,true,true,false,true,./portraits/P069/main.webp,./portraits/P069/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q3044 P18; source 2070x2070; crop=(192, 0, 1728, 1920); face_detected=False; main=83934 bytes; thumb=12618 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
